"type","x","y","z","vx","vy","vz","fx","fy","fz","omegax","omegay","omegaz","radius"
0,0.907595,-1.09889,0.0299502,1.22E-07,2.16E-07,6.82E-08,-9.99E-06,-4.56E-05,-1.71E-05,-2.32E-06,1.27E-06,-1.65E-06,0.03
0,-0.837855,-1.05063,0.0299181,4.76E-07,5.17E-07,1.93E-07,0.000161783,-0.000340366,-0.000102652,-2.26E-05,1.68E-05,0.000157504,0.03
0,-0.491167,-1.04296,0.0299371,5.60E-06,1.99E-06,-5.20E-07,-0.000214949,-0.000119674,0.000358906,4.50E-06,6.88E-05,-8.34E-05,0.03
0,-0.397934,-1.07078,0.0298836,7.20E-06,3.07E-06,3.77E-06,-0.00026631,-0.000214321,0.000823655,-5.80E-05,9.37E-05,4.54E-05,0.03
0,-0.0741373,-1.06512,0.0298906,1.55E-07,1.51E-06,2.36E-06,-0.000216924,4.62E-05,0.000215619,-6.22E-05,-1.05E-05,3.75E-05,0.03
0,0.199184,-1.06473,0.0298658,-1.23E-06,1.83E-07,6.58E-07,-4.89E-05,-1.95E-05,4.19E-06,-2.21E-06,-1.45E-05,-1.98E-05,0.03
0,0.532603,-1.06787,0.0298998,-3.81E-06,-3.45E-06,-3.90E-07,-8.48E-05,0.000145511,-6.81E-06,4.88E-05,-6.28E-05,-8.67E-05,0.03
0,0.59106,-1.05416,0.0298163,-4.11E-06,-1.32E-06,-2.61E-06,-0.000185893,-9.33E-06,6.28E-05,2.94E-05,-8.00E-05,-0.000213024,0.03
0,0.868082,-1.05376,0.0299462,1.35E-07,2.36E-07,5.76E-09,8.37E-05,2.10E-06,-1.88E-05,-4.08E-06,1.79E-06,3.00E-06,0.03
0,-0.773285,-1.03209,0.0298931,5.52E-06,2.64E-06,1.31E-06,-0.000233096,-0.000315486,-0.000266265,-7.73E-05,3.34E-05,-0.000285002,0.03
0,-0.613608,-1.02612,0.0299384,3.26E-06,-2.96E-05,-2.26E-06,-4.13E-05,0.00266574,0.000251017,0.000571122,-0.000107497,0.0017905,0.03
0,-0.291382,-1.02202,0.0299505,1.03E-06,-2.66E-06,2.51E-07,1.07E-05,-5.88E-05,0.000151639,4.94E-05,1.96E-05,-2.78E-05,0.03
0,-0.231214,-1.02493,0.0298019,2.32E-06,-3.09E-06,5.13E-06,-0.000405238,0.000388688,0.000344477,5.40E-05,3.87E-05,-1.51E-05,0.03
0,-0.171263,-1.02314,0.0298807,2.34E-06,-4.99E-06,4.17E-06,-0.000381696,0.000253657,0.000399952,0.000108393,5.68E-05,2.28E-05,0.03
0,-0.111497,-1.0182,0.0299471,9.70E-07,-1.20E-06,3.82E-07,-0.000200978,0.00012819,0.000208847,-1.95E-05,3.79E-05,1.53E-05,0.03
0,-0.0230056,-1.0338,0.0299137,-4.54E-07,2.98E-06,-2.55E-07,-0.000250506,-2.27E-05,0.000186355,-4.15E-05,2.50E-05,4.30E-05,0.03
0,0.0358974,-1.02256,0.0298235,-3.67E-07,3.80E-06,3.03E-07,-0.000161373,0.000146438,9.70E-05,-3.47E-05,-2.61E-05,-2.97E-05,0.03
